PEPSITE_RESULT,SCOPE,FTSITE_HIT,FTSITE_MISS,FTSITE_HITS_PDBID,FTSITE_MISSES_PDBID
HIT,domains,6,4,"1DDW,1OOT,1YWP,2ALF,2F1W,2X8D","1H1R,1X2J,2J6K,2O9S"
MISS,domains,11,17,"1D1Z,1JD4,1N7E,1P3R,1R6J,1TQ3,1UTN,2H3L,2J2I,3LBJ,4APE","1ALV,1B9K,1CA4,1EG3,1IE9,1IPB,1JBE,1JKG,1JWF,1LVB,1RWZ,1UGM,2AAX,2AM9,2B9F,2HWQ,3D1G"
HIT,full,7,7,"1OOT,1YWP,2ALF,2F1W,2G6F,2IDH,4APE","1DDW,1X2J,2H14,2J6K,2O9S,2X8D,3D1G"
MISS,full,12,22,"1D1Z,1JD4,1N7E,1R6J,1UTN,2H3L,2HPJ,3HL5,3LBJ,3LNX,3RDH,3ZVZ","1ALV,1B9K,1CA4,1EG3,1H1R,1IE9,1IPB,1JBE,1JKG,1JWF,1LVB,1P3R,1RWZ,1TQ3,1UGM,2AAX,2AM9,2B9F,2DS5,2HWQ,2J2I,2ZNN"
